query_id,description,gstore_time_ms,mysql_time_ms,gstore_result_count,mysql_result_count
Q1,厂牌 → 艺人,2053.222417831421,16.545772552490234,313,313
Q2,厂牌 → 艺人 → 歌曲,2092.024326324463,52.26016044616699,5416,5416
Q4,模糊匹配歌曲名包含 love,2059.159517288208,7.146596908569336,229,227
Q5,统计每个厂牌的艺人数,2043.0450439453125,2.003908157348633,15,15
